# {"t_start": 1554708228.502428, "env_id": "Hopper-v2"} 
r,l,t
612.997379,209,70.399732
551.411891,185,70.583762
582.885148,193,70.902251
633.154154,210,71.11038
598.663992,201,71.312442
625.506731,203,71.519445
420.159727,151,71.673204
602.663725,204,72.016803
622.418799,214,72.225233
584.718533,192,72.419987
630.431911,209,72.637865
698.441279,224,72.874272
533.176813,176,73.19222
694.482839,226,73.4145
418.917324,154,73.565162
590.718718,197,73.756463
723.216121,234,73.979177
759.20406,238,74.348911
664.327178,216,74.551156
664.226469,214,74.752541
632.199895,201,74.94198
796.039061,251,75.180184
708.388219,227,75.557208
667.89908,213,75.758735
642.717351,212,75.962014
753.763403,248,76.20848
631.107724,203,76.571581
730.979039,227,76.795723
657.911703,212,77.007759
779.364885,256,77.262721
654.293325,216,77.46436
655.63095,212,77.797539
671.418697,221,78.002938
666.164443,215,78.207513
657.438719,209,78.406247
665.857653,220,78.621448
741.215665,247,78.988201
653.835213,216,79.206029
621.933316,209,79.423321
730.420834,227,79.657405
648.615782,211,80.030851
663.0814,224,80.249493
675.503711,229,80.479959
773.610936,245,80.724668
636.330544,209,80.95081
669.379762,215,81.327336
710.874187,220,81.537407
665.448424,233,81.760833
752.71016,242,82.003642
784.726438,241,82.392128
460.110181,157,82.549562
799.969518,251,82.800483
640.20914,209,83.010114
909.598652,298,83.308533
704.510901,222,83.666824
811.467058,252,83.908893
701.889336,226,84.127988
726.586951,238,84.369679
737.84395,247,84.778598
662.798403,218,84.998098
639.127823,211,85.208038
528.70369,176,85.384852
665.855964,216,85.596423
720.554886,234,85.975969
616.685101,211,86.19859
686.666286,242,86.444802
639.067169,206,86.657774
666.890072,220,86.87714
648.283439,209,87.240587
764.163374,243,87.4951
724.640553,229,87.734083
795.832235,263,88.004196
942.618776,296,88.438077
683.860767,225,88.656166
754.495461,236,88.884781
696.057771,217,89.094677
709.119881,236,89.469425
860.416323,258,89.72735
744.086065,237,89.966244
790.47429,246,90.213726
695.488665,221,90.577687
700.160715,221,90.801893
699.373109,225,91.024485
794.018349,245,91.338395
769.613588,249,91.672301
673.716705,221,92.085768
747.83678,243,92.321924
710.013702,228,92.553488
713.148805,224,92.791991
673.70302,224,93.183925
680.642351,226,93.416883
588.718471,189,93.617501
793.227255,247,93.875979
704.703636,230,94.117608
679.911757,214,94.490124
688.413381,220,94.713972
697.7671,221,94.937953
762.23227,237,95.184575
708.942122,231,95.58843
652.250909,210,95.799037
749.789461,242,96.032653
824.163462,246,96.282524
766.611339,233,96.525091
502.497384,185,96.874312
654.317629,210,97.087641
814.341062,251,97.347999
655.618356,206,97.562143
736.749674,228,97.793527
817.450881,253,98.179107
701.809959,221,98.396346
825.638626,252,98.644533
662.753611,218,98.864145
790.236641,238,99.252783
832.474121,260,99.514022
749.540281,239,99.761174
763.120684,238,100.000483
763.344857,238,100.369972
848.016654,262,100.629733
611.05059,196,100.820143
827.920612,257,101.072085
749.701833,241,101.457921
586.423235,197,101.647847
550.488955,180,101.824257
854.83899,251,102.082595
777.016137,250,102.343489
908.599123,291,102.798605
838.889925,277,103.072598
671.623276,218,103.283235
759.686536,230,103.510959
903.086999,275,103.930392
823.856919,244,104.176246
784.455164,250,104.427944
831.494686,255,104.686411
689.918506,222,105.052624
857.741718,256,105.316133
986.440637,306,105.631036
766.074445,238,105.871142
808.667929,244,106.249749
763.39325,237,106.474615
865.570588,273,106.760904
841.814402,249,107.015924
907.883338,267,107.413035
799.012103,239,107.657488
824.675931,256,107.918793
788.014207,239,108.160049
797.599143,251,108.575896
951.191556,303,108.887771
849.550651,264,109.155819
837.65626,251,109.406206
880.46955,268,109.818725
670.562856,214,110.034635
841.697454,248,110.288367
838.265796,255,110.530402
711.296341,216,110.870684
736.347453,229,111.084073
868.362122,257,111.328053
806.271354,245,111.57052
844.84143,251,111.990012
855.902257,253,112.252847
655.307771,208,112.457296
858.082574,261,112.713528
931.363408,291,113.001175
770.252895,242,113.40396
823.241118,246,113.64834
700.833326,220,113.872317
853.670596,259,114.126187
884.436019,261,114.520169
879.730949,262,114.779711
865.645705,271,115.045881
897.897842,280,115.33671
858.187842,257,115.767891
892.324264,265,116.026945
865.97162,264,116.286333
889.304866,274,116.676451
564.504475,182,116.858331
657.308922,213,117.065118
827.947442,243,117.307148
871.3318,255,117.565991
824.011215,245,117.970601
720.348746,219,118.194689
886.596595,266,118.451553
923.863372,270,118.725281
882.359606,268,119.141719
653.586747,209,119.354866
659.996797,205,119.561169
891.701275,282,119.850357
760.360197,234,120.228629
1035.796976,310,120.544455
885.750277,258,120.812453
935.870805,284,121.102701
278.746314,117,121.221852
923.769001,282,121.674265
798.218457,254,121.935564
1138.5804,345,122.283833
884.365305,259,122.68019
235.910657,108,122.789436
894.282287,276,123.065387
949.539957,283,123.354351
634.071981,200,123.55795
888.032108,269,123.95403
882.603414,270,124.208424
878.642246,277,124.488269
595.545439,192,124.675418
836.376347,249,125.065167
907.9531,278,125.33557
922.982654,280,125.607869
927.609935,281,125.872139
850.586219,249,126.25545
643.115097,201,126.464026
660.494279,209,126.68347
963.428985,292,126.978507
754.974458,228,127.341048
904.425019,284,127.635433
948.589683,293,127.937205
937.155837,277,128.205439
833.980665,249,128.614387
940.53424,288,128.905379
889.426319,262,129.164282
853.202919,252,129.563422
674.137578,210,129.757885
907.103332,284,130.035436
896.883868,264,130.293406
788.850621,238,130.523288
937.30696,277,130.936235
889.803549,271,131.206377
861.89979,268,131.477538
916.856048,264,131.875437
859.579837,249,132.115178
813.228098,280,132.407824
1099.606207,332,132.757466
896.129481,264,133.186345
907.960856,280,133.478371
927.677901,274,133.766055
637.507604,197,133.967033
992.032307,296,134.422439
1151.345093,360,134.784592
882.937209,264,135.05526
890.969468,264,135.483521
946.434269,299,135.793514
861.997339,279,136.076567
861.377816,256,136.332902
838.897982,246,136.732659
866.484045,263,136.994161
937.995115,281,137.263197
936.351056,277,137.535684
902.422275,266,137.937284
914.317907,280,138.228733
835.697546,244,138.476775
912.725121,271,138.745905
860.723921,261,139.140702
865.867619,256,139.394726
889.280441,258,139.649451
951.1988,279,139.925014
917.477803,268,140.334154
758.606701,235,140.564489
838.337227,246,140.821418
885.396518,264,141.095138
953.769727,295,141.553338
1390.173012,407,141.956034
779.849553,238,142.194319
724.253318,217,142.552002
933.553012,273,142.828928
816.141822,243,143.076129
713.925495,218,143.294462
871.064753,255,143.712125
1067.834518,330,144.049147
958.640353,284,144.337789
830.361961,246,144.591588
1183.94275,349,145.07951
949.734049,280,145.357622
1179.743771,343,145.676092
659.063324,198,146.007245
1198.729384,350,146.357244
1127.900013,331,146.68398
854.106937,253,146.935843
975.253217,282,147.356019
880.110265,263,147.629049
188.030658,88,147.721739
936.364732,293,148.022411
769.116459,237,148.422519
710.873605,219,148.65109
1070.491849,322,148.97843
1187.93417,349,149.333588
789.593311,237,149.725344
848.68955,249,149.980519
1252.064327,369,150.35597
676.606979,206,150.570884
864.085603,256,150.974481
957.316595,282,151.252476
1084.367712,329,151.590204
901.612387,263,152.014137
689.157693,214,152.217538
1228.498545,358,152.545017
1021.574847,308,152.835014
961.414952,294,153.249901
951.674523,288,153.534894
1154.156842,332,153.872811
941.303989,273,154.308259
876.47165,261,154.571075
953.195122,285,154.863138
856.438624,248,155.113312
832.092031,240,155.47831
1458.474077,438,155.892477
1240.328119,377,156.260216
735.379254,228,156.62967
909.616069,274,156.888009
675.267094,211,157.085952
920.463241,275,157.346159
954.118367,281,157.755781
1137.491623,355,158.089243
663.788249,205,158.298656
942.43761,275,158.57641
940.745083,287,159.017019
940.96628,280,159.304224
1116.338062,344,159.657082
898.702882,266,160.077159
667.719236,205,160.280981
1200.46022,410,160.694168
879.723782,291,160.981199
1407.985391,416,161.569487
1718.976351,515,162.088758
917.89954,273,162.533643
920.175744,275,162.80792
1417.021533,444,163.263817
292.087097,137,163.403777
963.58557,286,163.843432
764.86116,231,164.076826
675.298163,203,164.286893
980.22828,295,164.592577
709.507793,222,164.973222
1231.427156,369,165.339881
1277.64626,380,165.739654
668.676687,200,166.090763
1157.127829,347,166.432006
1904.142942,592,167.155959
1210.38697,352,167.503765
1080.065385,322,167.825951
905.071226,265,168.079679
1314.514383,391,168.603444
699.749523,215,168.822932
1229.121851,389,169.210376
940.575583,274,169.62846
1410.375789,430,170.069949
876.528753,259,170.327799
939.06563,285,170.7518
1106.195019,325,171.06525
1143.133602,340,171.407362
882.361303,256,171.818505
1727.810476,508,172.331087
1193.853615,348,172.678219
2201.437966,684,173.502499
959.532349,279,173.793897
545.099902,213,174.147463
889.772755,260,174.406244
717.301441,214,174.606511
674.452775,211,174.810177
1232.494739,362,175.331427
1198.268866,349,175.681955
709.456945,213,175.896218
1231.430788,366,176.263732
684.199531,209,176.618525
925.630729,294,176.914634
945.931036,290,177.206782
